Max_Tem,Avg_Tem,Avg_S_Pressure,Avg_Visibility,Max_Wind,Max_SWind,Avg_Wind,Sum_Rain,heat_wave_strength,week_index,Avg_humudity,Week_ending
89.1,74.02857142857144,10.828571428571427,9.714285714285714,999.9,11.1,3.7857142857142856,0.15,0,24,2.1254243487980427,2014-06-21
87.1,73.75714285714287,12.357142857142858,9.714285714285714,999.9,9.9,3.1428571428571423,0.22,0,25,2.295378136135384,2014-06-28
91.0,75.65714285714286,11.242857142857144,8.657142857142857,999.9,11.1,3.442857142857143,2.8800000000000003,0,26,2.398457854984122,2014-07-05
91.0,77.77142857142857,10.614285714285714,9.557142857142859,999.9,11.1,3.7714285714285714,0.91,0,27,2.245257688940273,2014-07-12
86.0,74.1857142857143,10.385714285714286,8.214285714285714,999.9,8.0,3.4571428571428577,1.79,0,28,2.4093666943687473,2014-07-19
88.0,75.02857142857144,11.785714285714286,9.742857142857144,999.9,8.0,3.6571428571428575,0.19,0,29,2.329111520081811,2014-07-26
84.9,73.22857142857143,151.98571428571427,9.1,999.9,12.0,3.7285714285714286,0.76,0,30,2.354118249015152,2014-08-02
90.0,74.71428571428571,11.471428571428572,9.528571428571428,999.9,11.1,2.6285714285714286,0.12000000000000001,0,31,2.2137732492977387,2014-08-09
88.0,73.0142857142857,9.771428571428572,9.571428571428571,999.9,9.9,3.814285714285714,0.72,0,32,2.2012597349154563,2014-08-16
84.0,72.54285714285713,9.799999999999999,9.657142857142857,999.9,11.1,3.4,0.48,0,33,2.275010869359863,2014-08-23
90.0,74.08571428571429,14.257142857142858,9.914285714285715,999.9,8.9,2.757142857142857,0.01,0,34,2.1908495811312596,2014-08-30
91.9,79.45714285714287,11.6,9.285714285714286,999.9,12.0,3.142857142857143,0.62,0,35,2.422950388731579,2014-09-06
91.0,69.72857142857143,14.77142857142857,9.785714285714286,999.9,12.0,5.185714285714285,0.11,0,36,2.2753663267558055,2014-09-13
75.9,63.41428571428572,15.528571428571427,9.657142857142858,999.9,12.0,3.0,0.6300000000000001,0,37,2.1123161194468683,2014-09-20
82.9,65.75714285714285,16.8,9.085714285714285,999.9,11.1,3.914285714285714,0.47,0,38,2.2603422671325215,2014-09-27
84.0,66.87142857142857,10.557142857142855,9.228571428571428,999.9,12.0,3.471428571428572,0.16,0,39,2.3820442562363344,2014-10-04
73.0,60.114285714285714,10.185714285714285,9.614285714285714,999.9,12.0,4.214285714285714,1.3200000000000003,0,40,2.0139914931113454,2014-10-11
77.0,64.18571428571428,153.14285714285714,8.72857142857143,999.9,9.9,3.4714285714285715,2.04,0,41,2.393188521957074,2014-10-18
66.9,54.67142857142857,6.071428571428571,9.142857142857142,999.9,13.0,5.185714285714285,2.23,0,42,2.1168170778560653,2014-10-25
72.0,55.48571428571428,150.08571428571432,9.714285714285714,999.9,12.0,4.885714285714286,0.12,0,43,2.0328055029374563,2014-11-01
68.0,50.642857142857146,152.15714285714284,9.185714285714285,999.9,14.0,5.328571428571428,0.6599999999999999,0,44,1.7570143507906455,2014-11-08
64.9,48.38571428571429,12.685714285714287,8.971428571428572,999.9,9.9,3.357142857142857,0.32,0,45,1.9482361362983247,2014-11-15
52.0,35.800000000000004,14.071428571428571,9.157142857142857,999.9,15.9,5.3999999999999995,1.57,0,46,1.536477072836067,2014-11-22
69.1,44.6,12.042857142857144,8.985714285714286,999.9,15.9,4.585714285714286,1.96,0,47,1.8746631423271223,2014-11-29
64.9,44.357142857142854,20.728571428571428,8.128571428571428,999.9,13.0,5.371428571428572,0.91,0,48,2.0151211988973907,2014-12-06
50.0,35.628571428571426,154.7571428571429,8.742857142857144,31.1,19.0,8.285714285714286,3.7699999999999996,0,49,1.8884230281132113,2014-12-13
54.0,40.25714285714285,10.87142857142857,9.285714285714286,999.9,12.0,4.985714285714286,0.24,0,50,1.9229510188252352,2014-12-20
62.6,43.64285714285713,14.357142857142858,7.614285714285715,999.9,13.0,5.414285714285714,1.18,0,51,2.1281417570009546,2014-12-27
55.0,36.9,17.957142857142856,9.528571428571428,25.1,9.9,5.1000000000000005,0.1,0,52,1.5778790448284583,2015-01-03
55.9,26.714285714285715,15.728571428571428,8.742857142857144,40.0,18.1,7.457142857142856,1.1300000000000001,0,53,1.5208456812535356,2015-01-10
43.0,28.571428571428566,20.928571428571427,9.414285714285715,999.9,15.9,5.7,0.36,0,54,1.5473869015420363,2015-01-17
42.8,35.1,153.31428571428572,8.22857142857143,999.9,11.1,4.742857142857143,2.7600000000000002,0,55,1.7681044103332053,2015-01-24
42.1,27.585714285714285,151.2428571428571,8.228571428571428,999.9,17.1,7.671428571428572,1.2800000000000002,0,56,1.5520799144196278,2015-01-31
43.0,26.900000000000002,12.914285714285713,8.557142857142857,26.0,15.0,5.557142857142857,1.05,0,57,1.6096834639241586,2015-02-07
39.9,27.557142857142853,9.471428571428572,8.814285714285713,28.0,15.9,7.057142857142857,0.13,0,58,1.6681208265341267,2015-02-14
33.1,17.885714285714283,153.5285714285714,8.928571428571429,999.9,17.1,7.1,0.16,0,59,1.3083866947171026,2015-02-21
43.0,24.814285714285713,18.057142857142857,9.171428571428573,999.9,15.0,5.271428571428571,0.8099999999999999,0,60,1.4321966776381756,2015-02-28
45.0,28.87142857142857,18.771428571428572,7.057142857142858,27.0,14.0,4.828571428571428,2.2,0,61,1.7019367536907992,2015-03-07
59.0,44.385714285714286,17.485714285714284,8.714285714285714,25.1,15.0,4.757142857142857,0.85,0,62,1.6465790108364942,2015-03-14
57.0,38.41428571428572,10.785714285714286,8.614285714285714,35.9,17.1,6.6428571428571415,1.0,0,63,1.6240138315453923,2015-03-21
62.1,38.728571428571435,12.571428571428573,9.042857142857143,999.9,12.0,4.685714285714285,0.91,0,64,1.6713041320913626,2015-03-28
66.9,46.22857142857142,9.542857142857141,9.457142857142857,29.9,15.9,5.771428571428571,0.22000000000000003,0,65,1.6314478186855415,2015-04-04
63.0,47.828571428571436,16.22857142857143,8.828571428571427,999.9,14.0,6.328571428571429,0.33,0,66,1.987188729477195,2015-04-11
80.1,59.6,17.128571428571426,9.928571428571429,999.9,15.0,4.2285714285714295,0.09,0,67,1.6547248735816626,2015-04-18
80.1,51.58571428571429,148.05714285714288,8.714285714285714,28.0,17.1,6.442857142857142,1.62,0,68,1.7453158111837097,2015-04-25
78.1,56.6857142857143,146.52857142857144,10.0,21.0,13.0,5.085714285714286,0.0,0,69,1.7512398971444034,2015-05-02
84.9,66.97142857142858,16.885714285714283,8.9,999.9,11.1,3.357142857142857,0.0,0,70,1.929714745845601,2015-05-09
86.0,67.7,15.642857142857142,8.942857142857143,999.9,9.9,3.5571428571428574,0.03,0,71,2.0872030147656986,2015-05-16
82.9,63.52857142857143,12.342857142857143,8.314285714285715,999.9,12.0,3.5714285714285716,0.31,0,72,2.074837539673211,2015-05-23
88.0,73.54285714285716,17.92857142857143,9.5,999.9,8.9,4.014285714285714,0.08,0,73,2.1976894611226787,2015-05-30
87.1,60.871428571428574,14.8,7.8,999.9,15.0,4.942857142857142,2.8699999999999997,0,74,2.4470611468919397,2015-06-06
89.1,74.84285714285714,7.928571428571428,9.114285714285714,999.9,9.9,4.1,0.27,1,75,2.1826243212446483,2015-06-13
88.0,71.91428571428571,11.0,8.114285714285714,999.9,12.0,3.2857142857142856,1.2000000000000002,0,76,2.431366569862481,2015-06-20
90.0,75.78571428571429,8.971428571428572,9.085714285714285,999.9,12.0,4.142857142857143,0.6599999999999999,0,77,2.2567500368682363,2015-06-27
82.0,72.04285714285714,6.757142857142857,8.814285714285713,999.9,13.0,3.5857142857142854,2.5300000000000002,0,78,2.317765998090962,2015-07-04
88.0,77.15714285714286,11.514285714285716,8.471428571428572,999.9,11.1,2.9285714285714284,0.42,0,79,2.388028334411679,2015-07-11
89.1,76.17142857142858,150.45714285714286,9.085714285714285,999.9,12.0,3.0714285714285716,0.54,0,80,2.308974242273986,2015-07-18
93.9,80.94285714285715,147.77142857142857,9.785714285714286,999.9,11.1,3.2285714285714286,0.32,2,81,2.0442189563871613,2015-07-25
96.1,81.28571428571429,8.357142857142858,9.042857142857143,999.9,9.9,3.2857142857142856,2.31,4,82,2.2705703840990576,2015-08-01
90.0,78.27142857142857,7.528571428571429,9.942857142857141,999.9,15.0,3.3285714285714287,0.43,1,83,2.023052517397075,2015-08-08
91.9,76.42857142857144,10.671428571428573,9.685714285714285,999.9,8.0,3.2857142857142856,1.17,0,84,2.189695551788875,2015-08-15
95.0,80.72857142857143,12.428571428571429,9.5,999.9,8.0,3.314285714285714,0.94,3,85,2.327660351002836,2015-08-22
90.0,76.1857142857143,11.22857142857143,9.942857142857141,999.9,8.0,2.6714285714285713,0.0,0,86,2.113767241010432,2015-08-29
