Max_Tem,Avg_Tem,Avg_S_Pressure,Avg_Visibility,Max_Wind,Max_SWind,Avg_Wind,Sum_Rain,heat_wave_strength,week_index,Avg_humudity,Week_ending
66.0,53.51428571428571,21.728571428571428,9.542857142857143,999.9,18.1,5.257142857142857,0.01,0,1,2.2112531321675135,2014-01-11
73.0,55.457142857142856,24.27142857142857,9.685714285714287,999.9,13.0,2.685714285714286,0.0,0,2,1.9256024307615434,2014-01-18
69.1,54.228571428571435,18.942857142857143,9.314285714285715,999.9,14.0,2.357142857142857,0.0,0,3,2.0282877033542417,2014-01-25
66.0,54.857142857142854,18.400000000000002,9.857142857142858,999.9,24.1,6.814285714285715,0.0,0,4,2.3397462696050146,2014-02-01
59.0,50.94285714285714,16.814285714285713,8.757142857142856,999.9,25.1,8.442857142857141,1.8800000000000001,0,5,2.3888527563935154,2014-02-08
66.9,54.81428571428571,20.785714285714285,8.114285714285714,999.9,17.1,6.614285714285714,0.7000000000000001,0,6,2.6516625213640204,2014-02-15
69.1,55.18571428571429,19.32857142857143,9.971428571428572,999.9,19.0,7.357142857142857,0.02,0,7,2.3403743660646437,2014-02-22
71.1,55.67142857142858,294.3285714285715,9.457142857142857,999.9,24.1,9.0,1.1800000000000002,0,8,2.4720880231036766,2014-03-01
68.0,56.58571428571429,17.87142857142857,9.528571428571428,999.9,19.0,5.571428571428571,0.39,0,9,2.595136237709426,2014-03-08
75.9,60.82857142857143,19.457142857142856,9.957142857142856,999.9,28.9,8.271428571428572,0.0,0,10,2.1350413461499413,2014-03-15
75.9,57.44285714285714,17.528571428571432,9.914285714285715,999.9,28.0,7.914285714285714,0.0,0,11,2.199345536375071,2014-03-22
71.1,57.48571428571428,16.985714285714288,9.514285714285714,999.9,20.0,8.285714285714286,0.44999999999999996,0,12,2.3632602388358706,2014-03-29
64.0,53.97142857142857,15.985714285714284,9.714285714285714,999.9,19.0,7.8,2.2800000000000002,0,13,2.353253902760169,2014-04-05
82.0,59.42857142857144,16.61428571428571,9.828571428571427,999.9,21.0,7.942857142857143,0.0,0,14,2.401289987499449,2014-04-12
73.0,57.84285714285715,14.014285714285716,9.87142857142857,999.9,25.1,10.757142857142856,0.0,0,15,2.364896416695399,2014-04-19
79.0,57.67142857142857,16.728571428571428,9.842857142857143,999.9,28.9,12.4,0.41,0,16,2.293502259860366,2014-04-26
90.0,64.48571428571428,18.357142857142858,9.985714285714286,999.9,24.1,9.028571428571428,0.0,1,17,2.0955413717409117,2014-05-03
68.0,59.17142857142857,16.4,9.914285714285715,40.0,29.9,14.2,0.0,0,18,2.3417729444049864,2014-05-10
91.9,67.14285714285714,17.67142857142857,10.0,999.9,28.0,10.400000000000002,0.0,2,19,1.9608125242040562,2014-05-17
71.1,60.942857142857136,14.499999999999998,10.0,40.0,31.1,12.942857142857141,0.0,0,20,2.370572022107189,2014-05-24
78.1,60.957142857142856,14.614285714285712,10.0,38.1,29.9,13.342857142857142,0.0,0,21,2.206614290842594,2014-05-31
72.0,59.300000000000004,10.72857142857143,9.971428571428572,999.9,19.0,9.314285714285715,0.0,0,22,2.413544416842881,2014-06-07
87.1,64.17142857142856,10.057142857142859,9.985714285714286,999.9,24.1,10.671428571428569,0.0,0,23,2.3290728649640657,2014-06-14
86.0,61.67142857142857,12.599999999999998,10.0,999.9,31.1,11.742857142857144,0.0,0,24,2.2506830992978726,2014-06-21
75.0,62.81428571428571,14.071428571428571,9.942857142857141,35.0,28.9,12.142857142857142,0.01,0,25,2.423519348063523,2014-06-28
82.0,63.61428571428572,11.857142857142858,9.971428571428572,999.9,24.1,10.071428571428571,0.0,0,26,2.3987229099854646,2014-07-05
75.9,63.114285714285714,13.714285714285714,10.0,999.9,22.9,10.571428571428571,0.0,0,27,2.4771390029469997,2014-07-12
81.0,65.64285714285714,14.22857142857143,10.0,999.9,21.0,9.700000000000001,0.0,0,28,2.4943364568300312,2014-07-19
90.0,68.97142857142858,14.671428571428573,10.0,999.9,22.9,9.857142857142858,0.0,2,29,2.4265782121897925,2014-07-26
77.0,64.55714285714286,14.099999999999998,10.0,999.9,22.9,12.385714285714286,0.0,0,30,2.5369263125630654,2014-08-02
77.0,64.78571428571429,14.057142857142859,10.0,999.9,22.9,9.957142857142857,0.0,0,31,2.4955136778029794,2014-08-09
79.0,65.87142857142858,13.957142857142857,10.0,999.9,22.9,8.87142857142857,0.0,0,32,2.479758701930259,2014-08-16
77.0,64.58571428571429,12.371428571428572,9.928571428571429,999.9,22.0,8.32857142857143,0.0,0,33,2.5492273762476274,2014-08-23
80.1,65.54285714285714,13.357142857142858,10.0,999.9,22.9,9.1,0.0,0,34,2.514136176602917,2014-08-30
82.9,65.87142857142858,9.442857142857141,9.814285714285715,999.9,22.0,8.685714285714287,0.0,0,35,2.5089458698515297,2014-09-06
82.0,63.771428571428565,11.328571428571427,9.828571428571427,999.9,22.9,9.914285714285713,0.0,0,36,2.503323325677997,2014-09-13
82.0,68.31428571428572,10.385714285714286,9.985714285714286,999.9,19.0,8.842857142857142,0.01,3,37,2.536556763514814,2014-09-20
80.1,68.02857142857142,14.0,9.714285714285714,999.9,22.9,8.885714285714284,0.41000000000000003,2,38,2.5441382880763626,2014-09-27
95.0,70.21428571428571,13.657142857142857,9.985714285714286,999.9,21.0,6.542857142857143,0.0,3,39,2.1798472190623626,2014-10-04
91.9,65.27142857142857,13.185714285714285,9.9,999.9,22.9,9.671428571428573,0.0,4,40,2.4596983745041068,2014-10-11
