Max_Tem,Avg_Tem,Avg_S_Pressure,Avg_Visibility,Max_Wind,Max_SWind,Avg_Wind,Sum_Rain,heat_wave_strength,week_index,Avg_humudity,Week_ending
84.9,70.57142857142857,19.357142857142858,9.442857142857141,25.1,15.9,7.971428571428571,0.46,0,1,2.6211933325153147,2014-01-11
84.0,66.7,17.8,9.914285714285715,999.9,15.0,5.057142857142857,0.3,0,2,2.3233625202010764,2014-01-18
75.9,61.642857142857146,20.142857142857142,9.857142857142858,999.9,12.0,4.942857142857143,0.18,0,3,2.185572322434201,2014-01-25
82.0,71.28571428571429,16.528571428571432,9.1,999.9,14.0,4.3,0.9700000000000001,0,4,2.6913482889659415,2014-02-01
84.0,76.55714285714286,17.6,9.742857142857144,20.0,13.0,6.3,0.01,0,5,2.693352065856,2014-02-08
84.0,70.48571428571428,14.814285714285715,9.685714285714285,999.9,29.9,5.285714285714286,0.93,0,6,2.4669571416085367,2014-02-15
84.9,72.77142857142857,19.314285714285713,10.0,999.9,15.0,6.514285714285714,0.0,0,7,2.435733620797385,2014-02-22
86.0,74.14285714285714,14.471428571428572,9.571428571428571,999.9,13.0,5.014285714285714,0.18000000000000002,0,8,2.5403061078798905,2014-03-01
86.0,72.92857142857143,15.37142857142857,9.942857142857141,999.9,20.0,6.757142857142857,0.51,0,9,2.423341977388487,2014-03-08
87.1,72.08571428571429,16.514285714285716,10.0,999.9,18.1,6.728571428571429,0.01,0,10,2.3285747086311295,2014-03-15
88.0,75.77142857142857,13.714285714285714,9.828571428571427,999.9,17.1,8.071428571428571,0.2,0,11,2.4967587209070414,2014-03-22
90.0,73.60000000000001,17.342857142857145,9.828571428571427,29.9,20.0,8.685714285714287,1.6400000000000001,0,12,2.393688806918829,2014-03-29
84.0,73.84285714285714,17.685714285714287,9.957142857142857,22.9,15.0,7.300000000000002,0.28,0,13,2.3036327104758136,2014-04-05
90.0,75.92857142857143,16.414285714285715,9.87142857142857,999.9,21.0,8.671428571428573,0.22,0,14,2.3654365992176443,2014-04-12
89.1,78.62857142857142,14.814285714285713,9.814285714285715,25.1,17.1,8.828571428571431,0.87,0,15,2.6347169724757733,2014-04-19
89.1,75.58571428571429,13.785714285714286,9.971428571428572,999.9,12.0,5.642857142857143,0.09,0,16,2.415647774067487,2014-04-26
90.0,81.61428571428573,14.1,10.0,26.0,17.1,8.585714285714285,0.0,0,17,2.547913097858591,2014-05-03
90.0,79.6857142857143,17.385714285714283,10.0,25.1,19.0,10.157142857142857,0.29,0,18,2.3550857101202993,2014-05-10
88.0,79.10000000000001,16.214285714285715,9.657142857142857,29.9,21.0,10.471428571428573,2.94,0,19,2.5373404982289345,2014-05-17
91.9,79.04285714285716,18.414285714285715,10.0,999.9,18.1,8.585714285714285,0.0,0,20,2.306951218610046,2014-05-24
91.0,81.45714285714287,16.7,10.0,22.0,17.1,7.328571428571428,0.11,0,21,2.573051237227179,2014-05-31
91.9,80.25714285714287,14.442857142857141,9.914285714285715,999.9,17.1,7.328571428571429,0.8699999999999999,0,22,2.572218733567163,2014-06-07
91.9,79.67142857142858,15.128571428571428,9.285714285714286,29.9,22.9,4.514285714285714,5.43,0,23,2.682844829114869,2014-06-14
91.0,80.28571428571429,17.7,9.742857142857144,41.0,32.1,6.028571428571428,6.13,0,24,2.6573780543830345,2014-06-21
91.9,82.37142857142855,17.342857142857145,9.771428571428572,999.9,20.0,4.0285714285714285,3.3299999999999996,0,25,2.64917206459146,2014-06-28
93.0,82.41428571428571,16.042857142857144,9.242857142857144,999.9,22.9,5.242857142857143,5.0200000000000005,0,26,2.6828292493206662,2014-07-05
91.9,82.02857142857142,18.17142857142857,9.9,22.9,15.9,4.685714285714286,2.85,0,27,2.7066000796595735,2014-07-12
95.0,82.67142857142858,16.228571428571428,9.77142857142857,999.9,33.0,4.485714285714286,1.7899999999999998,0,28,2.6742727175511347,2014-07-19
91.9,83.14285714285714,16.7,9.700000000000001,999.9,19.0,3.6285714285714286,3.4999999999999996,0,29,2.7142698650802695,2014-07-26
95.0,84.12857142857145,15.185714285714285,9.771428571428572,999.9,15.0,4.2,1.9100000000000001,1,30,2.629377624715547,2014-08-02
93.9,82.55714285714286,15.12857142857143,9.814285714285715,999.9,13.0,3.6285714285714277,3.71,0,31,2.702258297490182,2014-08-09
93.0,83.58571428571429,16.21428571428571,9.771428571428572,25.1,15.9,3.8857142857142857,1.77,0,32,2.651182172357566,2014-08-16
93.9,85.25714285714285,16.285714285714285,9.828571428571427,999.9,13.0,4.6000000000000005,1.7,0,33,2.603945829997077,2014-08-23
93.9,85.25714285714285,12.0,9.9,999.9,17.1,6.857142857142857,1.9,1,34,2.5966798673418636,2014-08-30
91.9,83.87142857142855,16.657142857142855,9.885714285714286,999.9,19.0,6.671428571428572,1.11,2,35,2.6317538994483316,2014-09-06
