Max_Tem,Week_ending,,,,,,,,
98.1,2017/6/3,,,,,,,,
91.9,2017/6/10,,,,,,,,
91,2017/6/17,,,,,,,,
91,2017/6/24,,,,,,,,
91.9,2017/7/1,,,,,,,,
93,2017/7/8,,,,,,,,
93,2017/7/15,,,,,,,,
93,2017/7/22,,,,,,,,
93.9,2017/7/29,,,,,,,,
93.9,2017/8/5,,,,,,,,
93,2017/8/12,,,,,,,,
95,2017/8/19,,,,,,,,
93.9,2017/8/26,,,,,,,,
93.9,2017/9/2,,,,,,,,
93.9,2017/9/9,,,,,,,,
91.9,2017/9/16,,,,,,,,
93.9,2017/9/23,,,,,,,,
91,2017/9/30,,,,,,,,
91,2017/10/7,,,,,,,,
91,2017/10/14,,,,,,,,
90,2017/10/21,,,,,,,,
88,2017/10/28,,,,,,,,
86,2017/11/4,,,,,,,,
87.1,2017/11/11,,,,,,,,
87.1,2017/11/18,,,,,,,,
84.9,2017/11/25,,,,,,,,
84,2017/12/2,,,,,,,,
87.1,2017/12/9,,,,,,,,
81,2017/12/16,,,,,,,,
84.9,2017/12/23,,,,,,,,
84,2017/12/30,,,,,,,,
80.1,2018/1/6,,,,,,,,
84,2018/1/13,,,,,,,,
77,2018/1/20,,,,,,,,
84,2018/1/27,,,,,,,,
84,2018/2/3,,,,,,,,
84,2018/2/10,,,,,,,,
84.9,2018/2/17,,,,,,,,
84.2,2018/2/24,,,,,,,,
88,2018/3/3,,,,,,,,
82.9,2018/3/10,,,,,,,,
87.1,2018/3/17,,,,,,,,
89.1,2018/3/24,,,,,,,,
84,2018/3/31,,,,,,,,
88,2018/4/7,,,,,,,,
91,2018/4/14,,,,,,,,
88,2018/4/21,,,,,,,,
91,2018/4/28,,,,,,,,
86,2018/5/5,,,,,,,,
88,2018/5/12,,,,,,,,
87.1,2018/5/19,,,,,,,,
86,2018/5/26,,,,,,,,
89.1,2018/6/2,,,,,,,,
93.9,2018/6/9,,,,,,,,
89.1,2018/6/16,,,,,,,,
93.9,2018/6/23,,,,,,,,
91.9,2018/6/30,,,,,,,,
91,2018/7/7,,,,,,,,
93,2018/7/14,,,,,,,,
93.9,2018/7/21,,,,,,,,
93.9,2018/7/28,,,,,,,,
93,2018/8/4,,,,,,,,
93.9,2018/8/11,,,,,,,,
91,2018/8/18,,,,,,,,
91,2018/8/25,,,,,,,,
90,2018/9/1,,,,,,,,
89.1,2018/9/8,,,,,,,,
91.9,2018/9/15,,,,,,,,
91,2018/9/22,,,,,,,,
91,2018/9/29,,,,,,,,
90,2018/10/6,,,,,,,,
90,2018/10/13,,,,,,,,
90,2018/10/20,,,,,,,,
91,2018/10/27,,,,,,,,
88,2018/11/3,,,,,,,,
88,2018/11/10,,,,,,,,
88,2018/11/17,,,,,,,,
84,2018/11/24,,,,,,,,
84.9,2018/12/1,,,,,,,,
87.1,2018/12/8,,,,,,,,
84,2018/12/15,,,,,,,,
82.9,2018/12/22,,,,,,,,
82.9,2018/12/29,,,,,,,,
84,2019/1/5,,,,,,,,
82,2019/1/12,,,,,,,,
80.1,2019/1/19,,,,,,,,
84,2019/1/26,,,,,,,,
81,2019/2/2,,,,,,,,
82.9,2019/2/9,,,,,,,,
82,2019/2/16,,,,,,,,
84.9,2019/2/23,,,,,,,,
84.9,2019/3/2,,,,,,,,
89.1,2019/3/9,,,,,,,,
86,2019/3/16,,,,,,,,
86,2019/3/23,,,,,,,,
86,2019/3/30,,,,,,,,
89.1,2019/4/6,,,,,,,,
86,2019/4/13,,,,,,,,
90,2019/4/20,,,,,,,,
90,2019/4/27,,,,,,,,
88,2019/5/4,,,,,,,,
91,2019/5/11,,,,,,,,
95,2019/5/18,,,,,,,,
90,2019/5/25,,,,,,,,
93,2019/6/1,,,,,,,,
96.1,2019/6/8,,,,,,,,
93.9,2019/6/15,,,,,,,,
95,2019/6/22,,,,,,,,
98.1,2019/6/29,,,,,,,,
98.1,2019/7/6,,,,,,,,
93,2019/7/13,,,,,,,,
93,2019/7/20,,,,,,,,
102,2019/7/27,,,,,,,,
93.9,2019/8/3,,,,,,,,
95,2019/8/10,,,,,,,,
93.9,2019/8/17,,,,,,,,
93,2019/8/24,,,,,,,,
96.1,2019/8/31,,,,,,,,
96.1,2019/9/7,,,,,,,,
93.9,2019/9/14,,,,,,,,
95,2019/9/21,,,,,,,,
91,2019/9/28,,,,,,,,
91,2019/10/5,,,,,,,,
91,2019/10/12,,,,,,,,
91.9,2019/10/19,,,,,,,,
91.9,2019/10/26,,,,,,,,
91,2019/11/2,,,,,,,,
89.1,2019/11/9,,,,,,,,
88,2019/11/16,,,,,,,,
82.9,2019/11/23,,,,,,,,
86,2019/11/30,,,,,,,,
84.9,2019/12/7,,,,,,,,
87.1,2019/12/14,,,,,,,,
87.1,2019/12/21,,,,,,,,
82.9,2019/12/28,,,,,,,,
