Max_Tem,Avg_Tem,Avg_S_Pressure,Avg_Visibility,Max_Wind,Max_SWind,Avg_Wind,Sum_Rain,heat_wave_strength,week_index,Avg_humudity,Week_ending
88.0,76.44285714285715,14.442857142857145,9.942857142857145,999.9,17.1,7.928571428571429,0.0,0,20,2.5087576555924653,2014-05-24
88.0,75.34285714285714,9.171428571428573,9.085714285714285,39.0,25.1,5.328571428571429,7.42,0,21,2.7062455801648784,2014-05-31
93.0,80.6857142857143,9.257142857142856,9.942857142857141,999.9,19.0,6.285714285714285,0.05,0,22,2.666836370806099,2014-06-07
93.9,81.71428571428574,7.8999999999999995,9.842857142857143,999.9,17.1,5.685714285714285,0.66,0,23,2.5982956619578976,2014-06-14
93.0,82.9142857142857,12.171428571428569,9.928571428571429,999.9,17.1,7.628571428571428,0.22,0,24,2.592227270549477,2014-06-21
91.9,80.15714285714286,10.914285714285715,9.700000000000001,999.9,21.0,6.871428571428571,1.2100000000000002,0,25,2.738807187036842,2014-06-28
93.9,82.25714285714285,13.785714285714286,9.242857142857144,999.9,22.9,5.8999999999999995,0.58,0,26,2.635792368477997,2014-07-05
95.0,82.44285714285715,13.814285714285713,9.771428571428572,999.9,18.1,3.8285714285714283,0.4,0,27,2.5970113933931063,2014-07-12
96.1,81.8,10.928571428571429,9.814285714285715,999.9,15.9,4.271428571428571,0.53,0,28,2.6700866319452428,2014-07-19
96.1,84.05714285714285,11.957142857142856,9.685714285714285,999.9,15.0,3.9285714285714284,0.09,0,29,2.61423765851793,2014-07-26
99.0,82.55714285714285,12.385714285714286,9.828571428571427,999.9,15.9,5.271428571428571,3.9599999999999995,0,30,2.610848775672952,2014-08-02
97.0,82.55714285714284,11.22857142857143,9.714285714285714,999.9,15.9,4.8428571428571425,0.1,0,31,2.676106474845601,2014-08-09
98.1,84.3,11.5,9.971428571428572,999.9,26.0,4.3999999999999995,0.27,0,32,2.537942083429265,2014-08-16
98.1,84.75714285714285,11.442857142857145,9.985714285714286,999.9,15.9,5.771428571428571,0.01,0,33,2.627551206493599,2014-08-23
98.1,83.11428571428571,9.728571428571428,10.0,999.9,18.1,5.714285714285714,0.02,0,34,2.604381481711449,2014-08-30
95.0,82.01428571428572,11.614285714285714,9.828571428571427,999.9,21.0,5.157142857142858,1.22,0,35,2.7529467562715317,2014-09-06
97.0,81.35714285714286,10.971428571428573,9.842857142857142,999.9,25.1,4.728571428571429,0.61,0,36,2.71171281584607,2014-09-13
91.9,76.91428571428571,11.671428571428574,8.814285714285715,999.9,14.0,5.2,2.89,0,37,2.814961017875631,2014-09-20
93.0,76.3,13.828571428571427,10.0,999.9,12.0,5.385714285714285,0.0,0,38,2.497987154631925,2014-09-27
93.0,77.84285714285716,9.685714285714285,9.671428571428573,999.9,25.1,5.742857142857142,1.19,0,39,2.559861976103354,2014-10-04
91.0,75.98571428571428,10.685714285714285,9.799999999999999,999.9,28.9,5.014285714285714,0.78,0,40,2.6410345251299985,2014-10-11
87.1,71.11428571428571,10.657142857142858,9.785714285714286,999.9,20.0,5.128571428571428,0.98,0,41,2.385642676361486,2014-10-18
86.0,68.57142857142857,14.47142857142857,9.971428571428572,999.9,11.1,3.9571428571428577,0.5,0,42,2.411292377991323,2014-10-25
86.0,68.32857142857144,14.97142857142857,9.885714285714286,999.9,18.1,4.585714285714286,0.0,0,43,2.34820038067684,2014-11-01
82.0,62.57142857142856,17.814285714285713,9.62857142857143,999.9,17.1,5.6,1.46,0,44,2.472361256320672,2014-11-08
80.1,51.95714285714286,17.45714285714286,9.928571428571429,999.9,17.1,7.557142857142857,0.21000000000000002,0,45,2.049362894589855,2014-11-15
75.9,53.0,18.457142857142856,7.857142857142857,999.9,17.1,6.685714285714285,1.56,0,46,2.3426953944863578,2014-11-22
80.1,58.6,15.842857142857143,9.700000000000001,999.9,15.0,5.7,0.5700000000000001,0,47,2.1283085907612973,2014-11-29
80.1,62.0142857142857,18.257142857142856,7.514285714285713,999.9,14.0,5.8,0.1,0,48,2.6319196713495683,2014-12-06
75.0,58.614285714285714,20.657142857142862,9.414285714285715,999.9,14.0,4.8428571428571425,0.02,0,49,2.438980690331022,2014-12-13
80.1,60.1,15.37142857142857,8.657142857142858,999.9,19.0,7.671428571428572,3.8600000000000003,0,50,2.459755872913533,2014-12-20
73.9,56.57142857142857,10.385714285714286,9.0,999.9,19.0,6.685714285714285,0.73,0,51,2.4558194828327076,2014-12-27
54.0,45.528571428571425,18.5,6.471428571428572,999.9,15.0,7.057142857142858,1.8499999999999999,0,52,2.4589897513282937,2015-01-03
64.9,42.285714285714285,27.328571428571426,9.571428571428571,999.9,21.0,5.885714285714286,0.51,0,53,2.0118283794105865,2015-01-10
69.1,45.44285714285714,20.957142857142856,8.057142857142859,999.9,15.9,5.671428571428572,0.79,0,54,2.26620806866309,2015-01-17
75.9,53.142857142857146,15.657142857142857,7.985714285714287,999.9,22.0,6.3,0.9,0,55,2.2961581318393067,2015-01-24
81.0,57.6,17.985714285714288,9.485714285714286,999.9,14.0,5.3428571428571425,0.0,0,56,2.0632226367507984,2015-01-31
77.0,50.114285714285714,19.25714285714286,8.471428571428572,999.9,22.0,6.542857142857144,0.5,0,57,2.288529347662677,2015-02-07
82.9,59.728571428571435,15.957142857142856,8.87142857142857,999.9,14.0,5.128571428571428,0.0,0,58,2.2339272788641895,2015-02-14
78.1,55.300000000000004,16.1,9.37142857142857,999.9,22.0,7.8,0.18,0,59,2.342865197392124,2015-02-21
80.1,45.1,17.842857142857145,8.185714285714285,999.9,19.0,8.142857142857142,0.12000000000000001,0,60,2.295194017626154,2015-02-28
82.9,53.785714285714285,19.67142857142857,6.542857142857143,999.9,24.1,7.242857142857142,0.41,0,61,2.325887649845543,2015-03-07
77.0,56.614285714285714,14.042857142857144,6.228571428571428,999.9,15.9,6.257142857142858,4.240000000000001,0,62,2.6058554857622633,2015-03-14
82.0,68.14285714285714,15.114285714285712,8.085714285714285,999.9,13.0,3.942857142857143,0.62,0,63,2.6091693755590373,2015-03-21
82.0,65.34285714285714,13.085714285714285,9.242857142857144,999.9,21.0,5.9,1.1,0,64,2.340930724407749,2015-03-28
84.0,72.44285714285714,14.0,9.328571428571427,24.1,18.1,7.328571428571428,0.01,0,65,2.4904948997915213,2015-04-04
87.1,71.65714285714286,12.285714285714286,8.071428571428571,999.9,15.9,7.142857142857143,1.76,0,66,2.6292157686389213,2015-04-11
86.0,71.9,9.742857142857144,8.8,999.9,22.0,6.042857142857144,3.4800000000000004,0,67,2.7278204084134208,2015-04-18
88.0,72.49999999999999,7.557142857142857,9.042857142857143,999.9,22.0,5.985714285714285,0.64,0,68,2.5479031035069597,2015-04-25
84.9,69.68571428571428,8.285714285714286,9.457142857142857,999.9,18.1,5.542857142857143,0.21,0,69,2.3871885097320806,2015-05-02
87.1,75.52857142857144,11.200000000000001,9.642857142857142,32.1,22.9,10.02857142857143,0.54,0,70,2.6058854493546955,2015-05-09
89.1,75.9857142857143,12.014285714285716,8.471428571428572,999.9,20.0,8.0,2.62,0,71,2.807689455172691,2015-05-16
89.1,76.75714285714287,12.971428571428572,8.457142857142857,24.1,15.0,6.685714285714286,2.63,0,72,2.8122777799508727,2015-05-23
91.0,77.60000000000001,11.471428571428572,9.342857142857143,33.0,22.0,7.414285714285714,7.33,0,73,2.719377591748247,2015-05-30
93.0,79.25714285714285,11.614285714285716,9.985714285714286,999.9,14.0,3.1714285714285717,0.57,0,74,2.466630903460937,2015-06-06
93.9,82.84285714285714,8.514285714285714,9.928571428571429,999.9,17.1,4.8428571428571425,0.21000000000000002,0,75,2.5255786908747533,2015-06-13
90.0,80.05714285714285,10.271428571428572,8.5,999.9,22.0,7.442857142857143,3.9699999999999998,0,76,2.8315019447866887,2015-06-20
93.9,83.34285714285714,14.128571428571428,9.842857142857143,999.9,14.0,4.542857142857143,0.33,0,77,2.6630796991865346,2015-06-27
93.9,80.88571428571429,12.385714285714286,8.842857142857143,34.0,21.0,4.8999999999999995,7.26,0,78,2.7294293427433436,2015-07-04
93.9,84.54285714285713,13.7,9.257142857142858,24.1,19.0,7.371428571428572,0.0,0,79,2.6297459687694213,2015-07-11
97.0,85.48571428571428,11.057142857142855,10.0,999.9,15.0,4.828571428571428,0.06,0,80,2.563229026190331,2015-07-18
99.0,86.15714285714284,10.685714285714285,9.971428571428572,999.9,15.9,5.142857142857143,0.0,2,81,2.566138007962202,2015-07-25
100.9,87.11428571428573,10.785714285714286,9.700000000000001,999.9,19.0,4.985714285714286,0.17,8,82,2.4599576306497126,2015-08-01
100.0,86.62857142857142,9.314285714285715,9.971428571428572,999.9,17.1,4.971428571428571,0.0,3,83,2.4390592166522267,2015-08-08
106.0,87.41428571428571,10.757142857142856,9.87142857142857,999.9,19.0,4.785714285714286,0.17,6,84,2.4457644688061406,2015-08-15
99.0,80.84285714285714,9.414285714285715,9.485714285714284,999.9,24.1,5.2,2.59,0,85,2.7334978002865324,2015-08-22
98.1,82.0,12.7,9.928571428571429,999.9,29.9,3.1142857142857143,0.18,0,86,2.536537713870073,2015-08-29
91.9,78.95714285714284,11.485714285714284,9.585714285714287,999.9,21.0,4.0285714285714285,0.31,0,87,2.7148273879119214,2015-09-05
96.1,80.84285714285716,9.842857142857143,9.557142857142859,999.9,17.1,3.6571428571428575,2.08,0,88,2.7200441595041824,2015-09-12
91.9,77.48571428571428,12.285714285714286,9.642857142857142,999.9,17.1,5.3,0.01,0,89,2.5521350769760187,2015-09-19
93.9,79.71428571428571,11.214285714285717,9.585714285714285,999.9,9.9,3.771428571428572,0.03,0,90,2.438601378110981,2015-09-26
93.9,74.54285714285716,8.342857142857143,9.385714285714286,999.9,15.9,5.228571428571428,0.22999999999999998,0,91,2.4555672698943907,2015-10-03
91.0,74.85714285714286,12.714285714285714,9.814285714285713,999.9,12.0,3.5857142857142854,0.0,0,92,2.375209469986473,2015-10-10
95.0,75.37142857142858,12.942857142857141,9.728571428571428,999.9,14.0,4.228571428571429,0.0,0,93,2.1545455296964597,2015-10-17
86.0,72.08571428571427,14.985714285714284,9.271428571428572,999.9,20.0,8.67142857142857,0.060000000000000005,0,94,2.452023758199361,2015-10-24
86.0,68.58571428571429,6.257142857142855,8.571428571428571,999.9,24.1,9.685714285714285,7.87,0,95,2.619742234404812,2015-10-31
82.9,69.11428571428571,11.985714285714286,8.5,999.9,18.1,5.6571428571428575,2.2499999999999996,0,96,2.814962063633799,2015-11-07
84.0,63.828571428571436,16.285714285714285,9.771428571428572,999.9,19.0,6.714285714285714,0.31,0,97,2.364700904771425,2015-11-14
80.1,62.88571428571428,11.514285714285716,9.4,999.9,28.9,6.4142857142857155,1.81,0,98,2.491363225689567,2015-11-21
77.0,58.27142857142858,18.32857142857143,9.042857142857143,999.9,22.9,7.7,0.49,0,99,2.482844966324415,2015-11-28
66.0,50.885714285714286,18.871428571428574,8.785714285714286,999.9,11.1,4.514285714285714,0.9700000000000001,0,100,2.4009102845352204,2015-12-05
81.0,62.39999999999999,13.985714285714286,8.642857142857142,999.9,22.0,4.828571428571428,0.0,0,101,2.537200590740936,2015-12-12
77.0,56.67142857142857,11.057142857142859,9.357142857142858,999.9,22.9,6.914285714285713,3.46,0,102,2.277245252784502,2015-12-19
82.9,68.85714285714286,151.2428571428572,7.514285714285713,999.9,20.0,6.342857142857143,0.36,0,103,2.7256248546941606,2015-12-26
80.1,51.714285714285715,15.271428571428572,9.728571428571428,999.9,25.1,9.614285714285716,1.4100000000000001,0,104,2.293300547059419,2016-01-02
69.1,51.84285714285715,14.98571428571429,8.114285714285714,999.9,20.0,5.371428571428572,0.0,0,105,2.358377423407593,2016-01-09
